AVL, 500000, 21, 17.273, 2.46943, 1.87538
BST, 500000, 43, 23.1185, 2.40573, 2.42869
AVL, 510000, 22, 17.3748, 2.21267, 1.82269
BST, 510000, 45, 22.7955, 2.40627, 2.43793
AVL, 520000, 22, 17.4192, 2.21188, 1.80927
BST, 520000, 44, 23.4195, 2.45596, 2.5097
AVL, 530000, 22, 17.3817, 2.21138, 1.77938
BST, 530000, 43, 23.432, 2.41808, 2.44565
AVL, 540000, 22, 17.4356, 2.21466, 1.79608
BST, 540000, 45, 24.2293, 2.43666, 2.50014
AVL, 550000, 22, 17.4178, 2.24276, 1.82235
BST, 550000, 49, 24.5884, 2.46228, 2.49983
AVL, 560000, 22, 17.4503, 2.25074, 1.81796
BST, 560000, 45, 23.2357, 2.45837, 2.49539
AVL, 570000, 22, 17.5377, 2.25338, 1.83677
BST, 570000, 48, 23.5255, 2.4784, 2.53041
AVL, 580000, 22, 17.5279, 2.25888, 1.83673
BST, 580000, 49, 24.7637, 2.51014, 2.562
AVL, 590000, 22, 17.5384, 2.27072, 1.83869
BST, 590000, 47, 23.5675, 2.48597, 2.52086
AVL, 600000, 22, 17.6107, 2.27427, 1.85536
BST, 600000, 46, 23.0468, 2.49971, 2.53367
AVL, 610000, 22, 17.6538, 2.28275, 1.87083
BST, 610000, 51, 25.4922, 2.54638, 2.58574
AVL, 620000, 22, 17.601, 2.28635, 1.87705
BST, 620000, 46, 23.66, 2.51386, 2.55904
AVL, 630000, 22, 17.622, 2.2973, 1.87227
BST, 630000, 48, 23.5544, 2.54091, 2.57906
AVL, 640000, 22, 17.6379, 2.32273, 1.88802
BST, 640000, 51, 23.9204, 2.55696, 2.60729
AVL, 650000, 22, 17.6996, 2.31739, 1.90074
BST, 650000, 49, 24.1397, 2.56752, 2.61315
AVL, 660000, 22, 17.7014, 2.32679, 1.8954
BST, 660000, 45, 22.9246, 2.56658, 2.6032
AVL, 670000, 22, 17.7056, 2.35848, 1.92008
BST, 670000, 48, 23.7798, 2.59558, 2.62196
AVL, 680000, 22, 17.7451, 2.36207, 1.93006
BST, 680000, 48, 23.5165, 2.60404, 2.62569
AVL, 690000, 22, 17.8369, 2.37093, 1.92894
BST, 690000, 51, 24.4632, 2.63099, 2.66393
AVL, 700000, 22, 17.7601, 2.38613, 1.94495
BST, 700000, 48, 23.3934, 2.63329, 2.65863
AVL, 710000, 22, 17.7924, 2.38741, 1.94557
BST, 710000, 49, 24.9065, 2.64122, 2.66415
AVL, 720000, 22, 17.8212, 2.41086, 1.96057
BST, 720000, 45, 23.0712, 2.6494, 2.66539
AVL, 730000, 22, 17.8774, 2.40614, 1.9743
BST, 730000, 46, 23.3518, 2.67582, 2.71445
AVL, 740000, 22, 17.8984, 2.42507, 1.98341
BST, 740000, 48, 24.6463, 2.67813, 2.70806
AVL, 750000, 22, 17.909, 2.42032, 1.97924
BST, 750000, 47, 24.3598, 2.67036, 2.70517
AVL, 760000, 23, 17.9584, 2.42686, 1.99135
BST, 760000, 47, 24.4139, 2.7101, 2.74751
AVL, 770000, 23, 17.9686, 2.43569, 1.99725
BST, 770000, 47, 24.9025, 2.70474, 2.753
AVL, 780000, 22, 17.9126, 2.44565, 1.99408
BST, 780000, 50, 23.8548, 2.6988, 2.74008
AVL, 790000, 23, 17.9841, 2.45497, 2.01635
BST, 790000, 48, 25.846, 2.72596, 2.78205
AVL, 800000, 23, 18.0517, 2.46022, 2.0219
BST, 800000, 51, 24.781, 2.72273, 2.78702
AVL, 810000, 23, 18.0609, 2.48541, 2.02993
BST, 810000, 49, 24.8311, 2.75336, 2.80409
AVL, 820000, 23, 18.1199, 2.48335, 2.0359
BST, 820000, 53, 24.5414, 2.76573, 2.8106
AVL, 830000, 23, 18.0793, 2.50037, 2.04351
BST, 830000, 50, 25.2255, 2.78559, 2.82943
AVL, 840000, 23, 18.0081, 2.51504, 2.04489
BST, 840000, 51, 24.1918, 2.77428, 2.83422
AVL, 850000, 23, 18.1541, 2.50947, 2.06577
BST, 850000, 44, 23.8626, 2.77836, 2.80507
AVL, 860000, 22, 18.0633, 2.5129, 2.06522
BST, 860000, 49, 24.4146, 2.77892, 2.82751
